hhid,psuid,loc,pline,fline,v001,v002,v003,v004,v005,v006,v007a,v007b,v007c,v008
1,1,urban,138.7,88.768,177.7603422606851,5,0,0,0,3,0,51,6,0
2,1,urban,138.7,88.768,454.8206731423241,1,0,1,0,0,0,80,6,0
3,1,urban,138.7,88.768,257.1691338286828,5,1,0,0,2,0,39,6,0
4,1,urban,138.7,88.768,1337.455100464458,1,0,0,0,0,0,50,6,0
5,1,urban,138.7,88.768,1063.666907518089,2,0,0,1,2,1,52,6,0
6,1,urban,138.7,88.768,267.1198780777871,4,2,0,0,1,1,37,5,0
7,1,urban,138.7,88.768,435.1797207055068,5,3,0,0,1,0,42,4,0
8,1,urban,138.7,88.768,191.6429602512433,5,3,0,0,1,0,30,6,0
9,1,urban,138.7,88.768,114.5865764059531,2,0,2,0,0,1,87,2,0
10,1,urban,138.7,88.768,146.3722080335518,7,1,0,0,3,0,49,6,0
11,1,urban,138.7,88.768,324.6750242552393,3,1,0,0,1,0,43,6,0
12,1,urban,138.7,88.768,245.0160976748393,2,0,1,0,1,0,58,4,0
13,1,urban,138.7,88.768,193.6281258749419,1,0,1,0,0,1,81,4,0
14,1,urban,138.7,88.768,619.4170386863632,4,2,0,0,0,0,31,6,0
15,1,urban,138.7,88.768,296.740282479413,2,0,1,0,0,1,82,4,0
16,1,urban,138.7,88.768,260.1329797855564,4,0,0,0,1,0,50,6,0
17,1,urban,138.7,88.768,421.4856889354083,6,3,1,0,1,1,69,6,0
18,1,urban,138.7,88.768,257.7129554620234,5,1,0,0,1,0,46,4,0
19,2,urban,138.7,88.768,383.4592501067385,3,1,0,0,1,0,34,6,0
20,2,urban,138.7,88.768,333.3760220614672,6,2,0,0,2,0,44,7,0
21,2,urban,138.7,88.768,303.4676377444434,1,0,0,0,1,1,64,6,0
22,2,urban,138.7,88.768,1405.82044906988,3,0,0,0,1,0,44,6,0
23,2,urban,138.7,88.768,1201.909002767675,2,0,0,0,2,0,26,3,0
24,2,urban,138.7,88.768,629.2568785864639,2,1,0,0,1,0,46,6,0
